Pfam ID	number of PDBx structures	Family description
PF00205	214	Thiamine pyrophosphate enzyme, central domain
PF00073	214	picornavirus capsid protein
PF00058	213	Low-density lipoprotein receptor repeat class B
PF07501	212	G5 domain
PF12680	211	SnoaL-like domain
PF08238	211	Sel1 repeat
PF02770	210	Acyl-CoA dehydrogenase, middle domain
PF01209	210	ubiE/COQ5 methyltransferase family
PF01180	210	Dihydroorotate dehydrogenase
PF04321	209	RmlD substrate binding domain
PF01023	209	S-100/ICaBP type calcium binding domain
PF02800	207	Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain
PF03098	206	Animal haem peroxidase
PF00064	206	Neuraminidase
PF02719	205	Polysaccharide biosynthesis protein
PF00044	201	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF02146	199	Sir2 family
PF01261	199	Xylose isomerase-like TIM barrel
PF00211	199	Adenylate and Guanylate cyclase catalytic domain
PF01965	197	DJ-1/PfpI family
PF00501	197	AMP-binding enzyme
PF00109	197	Beta-ketoacyl synthase, N-terminal domain
PF06325	196	Ribosomal protein L11 methyltransferase (PrmA)
PF02803	195	Thiolase, C-terminal domain
PF02801	195	Beta-ketoacyl synthase, C-terminal domain
PF00108	195	Thiolase, N-terminal domain
PF01150	194	GDA1/CD39 (nucleoside phosphatase) family
PF13414	193	TPR repeat
PF02852	193	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain
PF00805	193	Pentapeptide repeats (8 copies)
PF00121	193	Triosephosphate isomerase
PF16353	192	Domain of unknown function(DUF4981)
PF07731	192	Multicopper oxidase
PF02929	192	Beta galactosidase small chain
PF01063	191	Amino-transferase class IV
PF01423	188	LSM domain 
PF00483	188	Nucleotidyl transferase
PF02375	187	jmjN domain
PF01494	187	FAD binding domain
PF00856	187	SET domain
PF05193	184	Peptidase M16 inactive domain
PF00496	184	Bacterial extracellular solute-binding proteins, family 5 Middle
PF00111	184	2Fe-2S iron-sulfur cluster binding domain
PF00915	183	Calicivirus coat protein
PF00441	183	Acyl-CoA dehydrogenase, C-terminal domain
PF00245	183	Alkaline phosphatase
PF00543	181	Nitrogen regulatory protein P-II
PF00092	181	von Willebrand factor type A domain
PF00352	180	Transcription factor TFIID (or TATA-binding protein, TBP)
PF00190	180	Cupin
PF00179	180	Ubiquitin-conjugating enzyme
PF00020	179	TNFR/NGFR cysteine-rich region
PF13410	178	Glutathione S-transferase, C-terminal domain
PF02728	178	Copper amine oxidase, N3 domain
PF00389	178	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
PF00161	177	Ribosome inactivating protein
PF00405	176	Transferrin
PF00883	173	Cytosol aminopeptidase family, catalytic domain
PF08435	172	Calicivirus coat protein C-terminal
PF03721	172	UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain
PF02353	172	Mycolic acid cyclopropane synthetase
PF02201	172	SWIB/MDM2 domain
PF13460	171	NAD(P)H-binding 
PF00930	171	Dipeptidyl peptidase IV (DPP IV) N-terminal region
PF03480	170	Bacterial extracellular solute-binding protein, family 7
PF01565	170	FAD binding domain 
PF02786	169	Carbamoyl-phosphate synthase L chain, ATP binding domain
PF01636	169	Phosphotransferase enzyme family
PF00091	169	Tubulin/FtsZ family, GTPase domain
PF07993	168	Male sterility protein
PF01134	168	Glucose inhibited division protein A
PF01077	168	Nitrite and sulphite reductase 4Fe-4S domain
PF00016	168	Ribulose bisphosphate carboxylase large chain, catalytic domain
PF17209	167	Hfq protein
PF01327	167	Polypeptide deformylase
PF14200	165	Ricin-type beta-trefoil lectin domain-like
PF13578	165	Methyltransferase domain
PF02894	165	Oxidoreductase family, C-terminal alpha/beta domain
PF00014	165	Kunitz/Bovine pancreatic trypsin inhibitor domain
PF03460	164	Nitrite/Sulfite reductase ferredoxin-like half domain
PF00533	164	BRCA1 C Terminus (BRCT) domain
PF00266	164	Aminotransferase class-V
PF00497	161	Bacterial extracellular solute-binding proteins, family 3
PF00246	161	Zinc carboxypeptidase
PF00169	161	PH domain
PF02887	160	Pyruvate kinase, alpha/beta domain
PF02542	159	YgbB family
PF00728	159	Glycosyl hydrolase family 20, catalytic domain
PF00331	159	Glycosyl hydrolase family 10
PF00959	158	Phage lysozyme
PF01436	157	NHL repeat
PF02085	156	Class III cytochrome C family
PF01053	156	Cys/Met metabolism PLP-dependent enzyme
PF00275	156	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
PF00224	156	Pyruvate kinase, barrel domain
PF02668	155	Taurine catabolism dioxygenase TauD, TfdA family
PF04909	153	Amidohydrolase
PF00923	151	Transaldolase/Fructose-6-phosphate aldolase
PF00628	151	PHD-finger
PF00079	151	Serpin (serine protease inhibitor)
PF02332	150	Methane/Phenol/Toluene Hydroxylase
PF01453	150	D-mannose binding lectin
PF00719	150	Inorganic pyrophosphatase
PF02788	149	Ribulose bisphosphate carboxylase large chain, N-terminal domain
PF03372	148	Endonuclease/Exonuclease/phosphatase family
PF00696	148	Amino acid kinase family
PF02885	147	Glycosyl transferase family, helical bundle domain
PF01791	147	DeoC/LacD family aldolase
PF14670	146	Coagulation Factor Xa inhibitory site
PF02729	146	Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain
PF00185	146	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain
PF13407	145	Periplasmic binding protein domain
PF01510	145	N-acetylmuramoyl-L-alanine amidase
PF00591	145	Glycosyl transferase family, a/b domain
PF00048	145	Small cytokines (intecrine/chemokine), interleukin-8 like
PF16168	144	Adhesin of bacterial autotransporter system, probable stalk 
PF01042	144	Endoribonuclease L-PSP
PF00724	144	NADH:flavin oxidoreductase / NADH oxidase family
PF00180	144	Isocitrate/isopropylmalate dehydrogenase
PF03104	143	DNA polymerase family B, exonuclease domain
PF02223	143	Thymidylate kinase
PF00994	143	Probable molybdopterin binding domain
PF01887	142	S-adenosyl-l-methionine hydroxide adenosyltransferase
PF01361	141	Tautomerase enzyme
PF00848	141	Ring hydroxylating alpha subunit (catalytic domain)
PF00078	141	Reverse transcriptase (RNA-dependent DNA polymerase)
PF13426	140	PAS domain
PF00691	139	OmpA family
PF02807	138	ATP:guanido phosphotransferase, N-terminal domain
PF01047	138	MarR family
PF00217	138	ATP:guanido phosphotransferase, C-terminal catalytic domain
PF02779	136	Transketolase, pyrimidine binding domain
PF00013	136	KH domain
PF00009	135	Elongation factor Tu GTP binding domain
PF14528	134	LAGLIDADG-like domain
PF01135	134	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)
PF15511	133	Centromere kinetochore component CENP-T histone fold
PF00782	133	Dual specificity phosphatase, catalytic domain
PF00710	133	Asparaginase, N-terminal
PF02569	132	Pantoate-beta-alanine ligase
PF02907	131	Hepatitis C virus NS3 protease
PF02868	131	Thermolysin metallopeptidase, alpha-helical domain
PF00244	131	14-3-3 protein
PF00134	131	Cyclin, N-terminal domain
PF13193	130	AMP-binding enzyme C-terminal domain
PF03953	130	Tubulin C-terminal domain
PF00885	130	6,7-dimethyl-8-ribityllumazine synthase
PF00206	130	Lyase
PF00551	129	Formyl transferase
PF00385	129	Chromo (CHRromatin Organisation MOdifier) domain
PF00030	129	Beta/Gamma crystallin
PF00022	129	Actin
PF08541	128	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal  
PF08540	128	Hydroxymethylglutaryl-coenzyme A synthase C terminal
PF07991	128	Acetohydroxy acid isomeroreductase, NADPH-binding domain
PF07361	128	Cytochrome b562
PF00731	128	AIR carboxylase
PF00288	128	GHMP kinases N terminal domain
PF05368	127	NmrA-like family
PF00463	127	Isocitrate lyase family
PF14602	126	Hexapeptide repeat of succinyl-transferase
PF00383	126	Cytidine and deoxycytidylate deaminase zinc-binding region
PF00484	125	Carbonic anhydrase
PF01230	124	HIT domain
PF00274	124	Fructose-bisphosphate aldolase class-I
PF07716	123	Basic region leucine zipper
PF03466	123	LysR substrate binding domain
PF01661	123	Macro domain
PF01395	123	PBP/GOBP family
PF00590	123	Tetrapyrrole (Corrin/Porphyrin) Methylases
PF00314	123	Thaumatin family
PF00316	122	Fructose-1-6-bisphosphatase, N-terminal domain
PF00148	122	Nitrogenase component 1 type Oxidoreductase
PF13416	121	Bacterial extracellular solute-binding protein
PF03496	121	ADP-ribosyltransferase exoenzyme
PF03144	121	Elongation factor Tu domain 2
PF01118	121	Semialdehyde dehydrogenase, NAD binding domain
PF01055	121	Glycosyl hydrolases family 31 
PF00680	121	RNA dependent RNA polymerase
PF01564	120	Spermine/spermidine synthase domain
PF01413	120	C-terminal tandem repeated domain in type 4 procollagen
PF00933	120	Glycosyl hydrolase family 3 N terminal domain
PF13306	119	Leucine rich repeats (6 copies)
PF02780	119	Transketolase, C-terminal domain
PF00668	119	Condensation domain
PF17284	118	Spermidine synthase tetramerisation domain
PF08545	118	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
PF02876	118	Staphylococcal/Streptococcal toxin, beta-grasp domain
PF08534	117	Redoxin
PF07977	117	FabA-like domain
PF02513	117	Spin/Ssty Family
PF01036	117	Bacteriorhodopsin-like protein
PF00006	117	ATP synthase alpha/beta family, nucleotide-binding domain
PF12831	116	FAD dependent oxidoreductase
PF06745	116	KaiC
PF05221	116	S-adenosyl-L-homocysteine hydrolase
PF02797	116	Chalcone and stilbene synthases, C-terminal domain
PF00268	116	Ribonucleotide reductase, small chain
PF04389	115	Peptidase family M28
PF04095	115	Nicotinate phosphoribosyltransferase (NAPRTase) family
PF02861	115	Clp amino terminal domain, pathogenicity island component
PF02627	115	Carboxymuconolactone decarboxylase family
PF00866	115	Ring hydroxylating beta subunit
PF00809	115	Pterin binding enzyme
PF02984	114	Cyclin, C-terminal domain
PF00517	114	Retroviral envelope protein
PF00053	114	Laminin EGF domain
PF13637	113	Ankyrin repeats (many copies)
PF11798	113	IMS family HHH motif
PF05184	113	Saposin-like type B, region 1
PF03952	113	Enolase, N-terminal domain
PF00857	113	Isochorismatase family
PF00579	113	tRNA synthetases class I (W and Y)
PF00225	113	Kinesin motor domain
PF00113	113	Enolase, C-terminal TIM barrel domain
PF00120	112	Glutamine synthetase, catalytic domain
PF06433	111	Methylamine dehydrogenase heavy chain (MADH)
PF03951	111	Glutamine synthetase, beta-Grasp domain
PF02806	111	Alpha amylase, C-terminal all-beta domain
PF07472	110	Fucose-binding lectin II (PA-IIL)
PF02975	110	Methylamine dehydrogenase, L chain
PF01497	110	Periplasmic binding protein
PF00670	110	S-adenosyl-L-homocysteine hydrolase, NAD binding domain
PF00406	110	Adenylate kinase
PF00270	110	DEAD/DEAH box helicase
PF00195	110	Chalcone and stilbene synthases, N-terminal domain
PF13442	109	Cytochrome C oxidase, cbb3-type, subunit III 
PF01613	109	Flavin reductase like domain
PF01557	109	Fumarylacetoacetate (FAA) hydrolase family
PF17041	108	E domain
PF09396	108	Thrombin light chain
PF13088	107	BNR repeat-like domain
PF03358	107	NADPH-dependent FMN reductase
PF03099	107	Biotin/lipoate A/B protein ligase family
PF02727	107	Copper amine oxidase, N2 domain
PF00101	107	Ribulose bisphosphate carboxylase, small chain
PF00075	107	RNase H
PF13360	106	PQQ-like domain
PF03992	106	Antibiotic biosynthesis monooxygenase
PF02018	106	Carbohydrate binding domain
PF01488	106	Shikimate / quinate 5-dehydrogenase
PF00494	106	Squalene/phytoene synthase
PF00368	106	Hydroxymethylglutaryl-coenzyme A reductase
PF00342	106	Phosphoglucose isomerase
PF02774	105	Semialdehyde dehydrogenase, dimerisation domain
PF02180	105	Bcl-2 homology region 4
PF01381	105	Helix-turn-helix
PF01126	105	Heme oxygenase
PF00478	105	IMP dehydrogenase / GMP reductase domain
PF11155	104	Domain of unknown function (DUF2935)
PF05053	104	Menin
PF01804	104	Penicillin amidase
PF00271	104	Helicase conserved C-terminal domain
PF00221	104	Aromatic amino acid lyase
PF13927	103	Immunoglobulin domain
PF03422	103	Carbohydrate binding module (family 6)
PF02799	103	Myristoyl-CoA:protein N-myristoyltransferase, C-terminal domain
PF02113	103	D-Ala-D-Ala carboxypeptidase 3 (S13) family
PF01044	103	Vinculin family
PF00795	103	Carbon-nitrogen hydrolase
PF00258	103	Flavodoxin
PF00047	103	Immunoglobulin domain
PF00025	103	ADP-ribosylation factor family
PF13472	102	GDSL-like Lipase/Acylhydrolase family
PF08501	102	Shikimate dehydrogenase substrate binding domain
PF02827	102	cAMP-dependent protein kinase inhibitor
PF00993	102	Class II histocompatibility antigen, alpha domain
PF00208	102	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
PF07554	101	FIVAR domain
PF00722	101	Glycosyl hydrolases family 16
PF00397	101	WW domain
PF02838	100	Glycosyl hydrolase family 20, domain 2
PF01678	100	Diaminopimelate epimerase
PF00147	100	Fibrinogen beta and gamma chains, C-terminal globular domain
PF10988	99	Putative auto-transporter adhesin, head GIN domain
PF01966	99	HD domain
PF01262	99	Alanine dehydrogenase/PNT, C-terminal domain
PF01039	99	Carboxyl transferase domain
PF01033	98	Somatomedin B domain
PF00582	98	Universal stress protein family
PF00354	98	Pentaxin family
PF07478	96	D-ala D-ala ligase C-terminus
PF02812	96	Glu/Leu/Phe/Val dehydrogenase, dimerisation domain
PF02335	96	Cytochrome c552
PF01839	96	FG-GAP repeat
PF01820	96	D-ala D-ala ligase N-terminus
PF00567	96	Tudor domain
PF00541	96	Adenoviral fibre protein (knob domain)
PF00167	96	Fibroblast growth factor
PF13288	95	DXP reductoisomerase C-terminal domain
PF08436	95	1-deoxy-D-xylulose 5-phosphate reductoisomerase C-terminal
PF02874	95	ATP synthase alpha/beta family, beta-barrel domain
PF02670	95	1-deoxy-D-xylulose 5-phosphate reductoisomerase
PF01168	95	Alanine racemase, N-terminal domain
PF01041	95	DegT/DnrJ/EryC1/StrS aminotransferase family
PF01070	94	FMN-dependent dehydrogenase
PF00117	94	Glutamine amidotransferase class-I
PF13377	93	Periplasmic binding protein-like domain
PF01590	93	GAF domain
PF01546	93	Peptidase family M20/M25/M40
PF01058	93	NADH ubiquinone oxidoreductase, 20 Kd subunit
PF00969	93	Class II histocompatibility antigen, beta domain
PF00136	93	DNA polymerase family B
PF14720	92	NiFe/NiFeSe hydrogenase small subunit C-terminal
PF03167	92	Uracil DNA glycosylase superfamily
PF01568	92	Molydopterin dinucleotide binding domain
PF01323	92	DSBA-like thioredoxin domain
PF01019	92	Gamma-glutamyltranspeptidase
PF00347	92	Ribosomal protein L6
PF13833	91	EF-hand domain pair
PF05448	91	Acetyl xylan esterase (AXE1)
PF03129	91	Anticodon binding domain
PF02768	91	DNA polymerase III beta subunit, C-terminal domain
PF02767	91	DNA polymerase III beta subunit, central domain
PF01648	91	4'-phosphopantetheinyl transferase superfamily
PF01177	91	Asp/Glu/Hydantoin racemase
PF00712	91	DNA polymerase III beta subunit, N-terminal domain
PF00550	91	Phosphopantetheine attachment site
PF00407	91	Pathogenesis-related protein Bet v I family
PF13302	90	Acetyltransferase (GNAT) domain
PF02560	90	Cyanate lyase C-terminal domain
PF01728	90	FtsJ-like methyltransferase
PF00730	90	HhH-GPD superfamily base excision DNA repair protein
PF00066	90	LNR domain
PF07710	89	P53 tetramerisation motif
PF03720	89	UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain
PF00984	89	UDP-glucose/GDP-mannose dehydrogenase family, central domain
PF00972	89	Flavivirus RNA-directed RNA polymerase
PF00756	89	Putative esterase
PF00560	89	Leucine Rich Repeat
PF00057	89	Low-density lipoprotein receptor domain class A
PF11723	88	Homotrimeric ring hydroxylase
PF02769	88	AIR synthase related protein, C-terminal domain
PF01476	88	LysM domain
PF00733	88	Asparagine synthase
PF13419	87	Haloacid dehalogenase-like hydrolase
PF06831	87	Formamidopyrimidine-DNA glycosylase H2TH domain
PF00870	87	P53 DNA-binding domain
PF00419	87	Fimbrial protein
PF05025	86	RbsD / FucU transport protein family
PF03931	86	Skp1 family, tetramerisation domain
PF02782	86	FGGY family of carbohydrate kinases, C-terminal domain
PF02511	86	Thymidylate synthase complementing protein
PF02129	86	X-Pro dipeptidyl-peptidase (S15 family)
PF16211	85	C-terminus of histone H2A
PF03091	85	CutA1 divalent ion tolerance protein
PF02210	85	Laminin G domain
PF01149	85	Formamidopyrimidine-DNA glycosylase N-terminal domain
PF00436	85	Single-strand binding protein family
PF17189	84	Glycosyl hydrolase family 30 beta sandwich domain
PF02142	84	MGS-like domain
PF13895	83	Immunoglobulin domain
PF08544	83	GHMP kinases C terminal 
PF05031	83	Iron Transport-associated domain 
PF02237	83	Biotin protein ligase C terminal domain
PF00927	83	Transglutaminase family, C-terminal ig like domain
PF00370	83	FGGY family of carbohydrate kinases, N-terminal domain
PF06696	82	Streptococcal surface antigen repeat
PF05721	82	Phytanoyl-CoA dioxygenase (PhyH)
PF04616	82	Glycosyl hydrolases family 43
PF02738	81	Molybdopterin-binding domain of aldehyde dehydrogenase
PF01926	81	50S ribosome-binding GTPase
PF01336	81	OB-fold nucleic acid binding domain
PF01120	81	Alpha-L-fucosidase
PF00725	81	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain
PF00386	81	C1q domain
PF00031	81	Cystatin domain
PF16582	80	Middle domain of thiamine pyrophosphate
PF14517	80	Tachylectin
PF00842	80	Alanine racemase, C-terminal domain
PF00685	80	Sulfotransferase domain
PF00462	80	Glutaredoxin
PF00392	80	Bacterial regulatory proteins, gntR family
PF02737	79	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain
PF01799	79	[2Fe-2S] binding domain
PF01749	79	Importin beta binding domain
PF01315	79	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain
PF03949	78	Malic enzyme, NAD binding domain
PF02211	78	Nitrile hydratase beta subunit
PF01094	78	Receptor family ligand binding region
PF00676	78	Dehydrogenase E1 component
PF00651	78	BTB/POZ domain
PF00398	78	Ribosomal RNA adenine dimethylase
PF00390	78	Malic enzyme, N-terminal domain
PF00264	78	Common central domain of tyrosinase
PF16186	77	Atypical Arm repeat 
PF03150	77	Di-haem cytochrome c peroxidase
